Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 139, 0, 22.943, 22.943, 22.96, 0.017, 33, 22.96, 24.332, 1.373, 1480, 2, 24.332, 24.359, 0.027, 54,     1.416,
 87, 0, 14.572, 14.572, 14.579, 0.008, 7, 14.579, 24.595, 10.016, 1603, 2,TimeOut
 88, 0, 14.606, 14.606, 14.606, 0, 1, 14.606, 24.645, 10.04, 1490, 2,TimeOut
 127, 0, 20.805, 20.805, 20.926, 0.121, 172, 20.926, 24.636, 3.71, 1666, 2, 24.636, 24.721, 0.084, 169,     3.916,
 89, 0, 14.693, 14.693, 14.743, 0.05, 117, 14.743, 24.758, 10.015, 1670, 2,TimeOut
 90, 0, 14.77, 14.77, 14.825, 0.055, 112, 14.825, 24.845, 10.02, 1244, 2,TimeOut
 130, 0, 21.207, 21.207, 21.224, 0.017, 35, 21.224, 25.086, 3.861, 1606, 2, 25.086, 25.096, 0.01, 2,     3.889,
 91, 0, 15.072, 15.072, 15.109, 0.037, 75, 15.109, 25.144, 10.034, 1221, 2,TimeOut
 142, 0, 23.701, 23.701, 23.746, 0.045, 90, 23.746, 24.836, 1.09, 1476, 2, 24.836, 25.154, 0.317, 635,     1.453,
 92, 0, 15.196, 15.196, 15.229, 0.033, 53, 15.229, 25.343, 10.114, 1185, 2,TimeOut
 145, 0, 24.013, 24.013, 24.159, 0.147, 291, 24.159, 25.584, 1.425, 1454, 2, 25.584, 25.675, 0.09, 181,     1.662,
 94, 0, 15.355, 15.355, 15.78, 0.425, 696, 15.78, 25.813, 10.033, 1097, 2,TimeOut
 136, 0, 22.684, 22.684, 22.705, 0.021, 42, 22.705, 25.634, 2.929, 1634, 2, 25.634, 25.829, 0.195, 390,     3.145,
 144, 0, 23.971, 23.971, 24.445, 0.475, 958, 24.445, 25.834, 1.389, 1611, 2, 25.834, 25.844, 0.01, 12,     1.873,
 133, 0, 21.661, 21.661, 21.764, 0.103, 212, 21.764, 25.834, 4.071, 1244, 2, 25.834, 25.864, 0.03, 26,     4.204,
 140, 0, 23.229, 23.229, 23.371, 0.142, 270, 23.371, 25.89, 2.519, 1328, 2, 25.89, 25.9, 0.01, 4,     2.671,
